sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,15,,良好,0.7,0.11,23,16,9,7,2,3.5,0.7,3.7,89,"2025/07/02 15:00:00",0.1,2.4,7,0,121.760056,25.129167,1
汐止,新北市,23,,良好,0.2,0.08,19,15,9,7,3,5.7,1.9,3.1,66,"2025/07/02 15:00:00",0,5.7,6,0,121.64081,25.06624,2
新店,新北市,15,,良好,0.8,0.08,18,16,7,3,2,3.7,1.3,3.7,127,"2025/07/02 15:00:00",0,2.1,7,0,121.537778,24.977222,4
土城,新北市,20,,良好,0.6,0.13,17,15,16,3,,,,2.1,118,"2025/07/02 15:00:00",0.1,4.5,12,0,121.451861,24.982528,5
板橋,新北市,14,,良好,0.7,0.14,18,15,10,0,4,7.9,3.2,2.8,59,"2025/07/02 15:00:00",0.1,,4,0,121.458667,25.012972,6
新莊,新北市,47,,良好,0.7,0.08,19,16,39,5,3,5.9,2.7,5.2,95,"2025/07/02 15:00:00",0.1,2.9,28,0,121.4325,25.037972,7
菜寮,新北市,17,,良好,0.9,0.13,20,18,14,3,4,6.3,1.8,4.7,86,"2025/07/02 15:00:00",0.1,3.1,10,0,121.481028,25.06895,8
林口,新北市,21,,良好,1.1,0.12,21,18,16,4,5,9.6,3.6,2.7,110,"2025/07/02 15:00:00",0.1,5.1,10,0,121.36548982,25.07798949,9
淡水,新北市,55,懸浮微粒,普通,,,21,18,68,11,,,,,,"2025/07/02 15:00:00",0,6.9,35,0,121.449239,25.1645,10
士林,臺北市,18,,良好,0.8,0.09,21,16,19,4,,,,3.1,142,"2025/07/02 15:00:00",0.1,2.4,11,0,121.51666356,25.10334003,11
中山,臺北市,33,,良好,0.7,0.17,15,12,21,7,6,12.3,6,3.9,60,"2025/07/02 15:00:00",0.2,6.7,20,0,121.526528,25.062361,12
萬華,臺北市,18,,良好,0.7,0.15,15,13,17,4,7,11.8,4.5,2.3,83,"2025/07/02 15:00:00",0.1,1.6,11,0,121.507972,25.046503,13
古亭,臺北市,18,,良好,0.7,0.08,18,15,17,0,3,5.5,2.3,3.4,69,"2025/07/02 15:00:00",0,1.6,11,0,121.529556,25.020608,14
松山,臺北市,21,,良好,0.9,0.1,15,12,10,6,5,9.7,4.5,2.2,56,"2025/07/02 15:00:00",0.1,5.1,10,0,121.578611,25.05,15
大同,臺北市,31,,良好,1.1,0.45,10,10,22,5,13,39.7,26.4,-,-,"2025/07/02 15:00:00",0.4,5.5,17,0,121.51342074,25.06331455,16
桃園,桃園市,21,,良好,1,0.14,19,16,12,6,7,12.3,4.5,4.3,66,"2025/07/02 15:00:00",0.1,5.1,9,1,121.30500531,24.9947107,17
大園,桃園市,30,,良好,0.8,0.14,24,19,20,6,7,12.4,4.6,6.2,86,"2025/07/02 15:00:00",0.1,3.2,18,1,121.20251473,25.06100357,18
觀音,桃園市,40,,良好,0.4,0.03,24,31,67,17,4,5.9,1.5,5.2,57,"2025/07/02 15:00:00",0,8.6,24,0,121.08283092,25.03556747,19
平鎮,桃園市,19,,良好,0,0.13,,20,,1,5,7.7,2.2,4,96,"2025/07/02 15:00:00",0.1,3.5,9,0,121.203986,24.952786,20
龍潭,桃園市,42,,良好,0.8,0.12,32,40,17,5,6,8,2,3.1,46,"2025/07/02 15:00:00",0.1,10.4,19,0,121.21645772,24.86400048,21
湖口,新竹縣,44,,良好,0.8,0.15,67,48,19,11,3,4.1,0.8,2.5,262,"2025/07/02 15:00:00",0.1,10.6,18,1,121.03886894,24.90009696,22
竹東,新竹縣,52,細懸浮微粒,普通,0.3,0.19,77,52,26,12,4,4.8,0.6,2,224,"2025/07/02 15:00:00",0.2,12.7,22,0,121.08895493,24.74091408,23
新竹,新竹市,44,,良好,1.9,0.17,59,47,21,10,6,7.7,1,2.7,250,"2025/07/02 15:00:00",0.1,11,18,1,120.97236752,24.8056356,24
頭份,苗栗縣,55,細懸浮微粒,普通,1.8,0.16,65,52,21,12,3,4.4,0.8,2.2,266,"2025/07/02 15:00:00",0.2,13.9,24,1,120.89869286,24.69690679,25
苗栗,苗栗縣,49,,良好,1.4,0.13,66,53,15,8,2,3.8,1.1,1.7,333,"2025/07/02 15:00:00",0.1,11.6,19,1,120.82011468,24.56499183,26
三義,苗栗縣,58,細懸浮微粒,普通,,,,43,,11,,,,2.1,283,"2025/07/02 15:00:00",0.1,15.1,27,1,120.75956754,24.38248443,27
豐原,臺中市,64,細懸浮微粒,普通,1.7,0.15,53,49,34,16,3,3.8,0.8,2.5,293,"2025/07/02 15:00:00",0.2,17.2,28,1,120.74252414,24.25699731,28
沙鹿,臺中市,66,細懸浮微粒,普通,1.5,0.12,40,47,22,9,4,5.7,1.7,2.3,294,"2025/07/02 15:00:00",0.2,18,33,1,120.568794,24.225628,29
大里,臺中市,76,細懸浮微粒,普通,1.3,0.21,70,56,28,21,5,6.3,0.7,2.4,265,"2025/07/02 15:00:00",0.2,21.8,33,1,120.67844444,24.09961111,30
忠明,臺中市,69,細懸浮微粒,普通,1.9,0.19,61,52,32,14,4,6.9,2.3,2.6,306,"2025/07/02 15:00:00",0.2,19,34,1,120.641092,24.151958,31
西屯,臺中市,72,細懸浮微粒,普通,1.2,0.14,64,53,34,19,3,4.7,1.2,2.6,336,"2025/07/02 15:00:00",0.2,20,40,1,120.616917,24.162197,32
彰化,彰化縣,62,細懸浮微粒,普通,1.2,0.23,48,44,20,11,5,6.4,1.1,2.6,345,"2025/07/02 15:00:00",0.2,16.5,26,1,120.541519,24.066,33
線西,彰化縣,69,細懸浮微粒,普通,1.1,0.13,40,50,17,8,2,1.8,0,3.3,352,"2025/07/02 15:00:00",0.2,19,36,1,120.469061,24.131672,34
二林,彰化縣,65,細懸浮微粒,普通,2,0.22,67,52,31,14,1,1.7,0.2,2.4,317,"2025/07/02 15:00:00",0.1,17.6,38,1,120.409653,23.925175,35
南投,南投縣,65,細懸浮微粒,普通,2.6,0.56,91,54,44,27,7,8.6,1.2,1.7,343,"2025/07/02 15:00:00",0.2,17.7,31,0,120.685306,23.913,36
斗六,雲林縣,57,細懸浮微粒,普通,2.1,0.2,73,53,46,22,3,4.9,1,3.1,321,"2025/07/02 15:00:00",0.1,14.8,27,1,120.544994,23.711853,37
崙背,雲林縣,66,細懸浮微粒,普通,2.1,0.22,66,48,44,27,3,4.1,0.6,2.2,310,"2025/07/02 15:00:00",0.1,17.9,34,1,120.348742,23.757547,38
